Datetime,Discharge
2019-06-19 22:45,3660
2019-06-19 23:00,3620
2019-06-19 23:15,3690
2019-06-19 23:30,3680
2019-06-19 23:45,3650
2019-06-20 00:00,3660
2019-06-20 00:15,3680
2019-06-20 00:30,3630
2019-06-20 00:45,3650
2019-06-20 01:00,3660
2019-06-20 01:15,3660
2019-06-20 01:30,3630
2019-06-20 01:45,3650
2019-06-20 02:00,3620
2019-06-20 02:15,3610
2019-06-20 02:30,3620
2019-06-20 02:45,3660
2019-06-20 03:00,3610
2019-06-20 03:15,3610
2019-06-20 03:30,3620
2019-06-20 03:45,3610
2019-06-20 04:00,3610
2019-06-20 04:15,3580
2019-06-20 04:30,3530
2019-06-20 04:45,3590
2019-06-20 05:00,3560
2019-06-20 05:15,3550
2019-06-20 05:30,3560
2019-06-20 05:45,3560
2019-06-20 06:00,3520
2019-06-20 06:15,3510
2019-06-20 06:30,3550
2019-06-20 06:45,3530
2019-06-20 07:00,3530
2019-06-20 07:15,3530
2019-06-20 07:30,3520
2019-06-20 07:45,3520
2019-06-20 08:00,3510
2019-06-20 08:15,3520
2019-06-20 08:30,3520
2019-06-20 08:45,3530
2019-06-20 09:00,3530
2019-06-20 09:15,3510
2019-06-20 09:30,3530
2019-06-20 09:45,3510
2019-06-20 10:00,3550
2019-06-20 10:15,3560
2019-06-20 10:30,3520
2019-06-20 10:45,3560
2019-06-20 11:00,3560
2019-06-20 11:15,3550
2019-06-20 11:30,3580
2019-06-20 11:45,3510
2019-06-20 12:00,3550
2019-06-20 12:15,3580
2019-06-20 12:30,3590
2019-06-20 12:45,3580
2019-06-20 13:00,3580
2019-06-20 13:15,3620
2019-06-20 13:30,3570
2019-06-20 13:45,3530
2019-06-20 14:00,3590
2019-06-20 14:15,3570
2019-06-20 14:30,3600
2019-06-20 14:45,3620
2019-06-20 15:00,3600
2019-06-20 15:15,3590
2019-06-20 15:30,3590
2019-06-20 15:45,3620
2019-06-20 16:00,3600
2019-06-20 16:15,3620
2019-06-20 16:30,3620
2019-06-20 16:45,3620
2019-06-20 17:00,3630
2019-06-20 17:15,3590
2019-06-20 17:30,3600
2019-06-20 17:45,3590
2019-06-20 18:00,3570
2019-06-20 18:15,3600
2019-06-20 18:30,3570
2019-06-20 18:45,3600
2019-06-20 19:00,3530
2019-06-20 19:15,3560
2019-06-20 19:30,3600
2019-06-20 19:45,3550
2019-06-20 20:00,3560
2019-06-20 20:15,3550
2019-06-20 20:30,3530
2019-06-20 20:45,3510
2019-06-20 21:00,3520
2019-06-20 21:15,3550
2019-06-20 21:30,3510
2019-06-20 21:45,3510
2019-06-20 22:00,3550
2019-06-20 22:15,3530
2019-06-20 22:30,3510
2019-06-20 22:45,3540
2019-06-20 23:00,3460
2019-06-20 23:15,3510
2019-06-20 23:30,3510
2019-06-20 23:45,3530
2019-06-21 00:00,3510
2019-06-21 00:15,3480
2019-06-21 00:30,3470
2019-06-21 00:45,3480
2019-06-21 01:00,3500
2019-06-21 01:15,3490
2019-06-21 01:30,3450
2019-06-21 01:45,3480
2019-06-21 02:00,3440
2019-06-21 02:15,3410
2019-06-21 02:30,3480
2019-06-21 02:45,3460
2019-06-21 03:00,3440
2019-06-21 03:15,3440
2019-06-21 03:30,3420
2019-06-21 03:45,3450
2019-06-21 04:00,3440
2019-06-21 04:15,3440
2019-06-21 04:30,3440
2019-06-21 04:45,3440
2019-06-21 05:00,3450
2019-06-21 05:15,3410
2019-06-21 05:30,3420
2019-06-21 05:45,3440
2019-06-21 06:00,3450
2019-06-21 06:15,3420
2019-06-21 06:30,3420
2019-06-21 06:45,3410
2019-06-21 07:00,3410
2019-06-21 07:15,3380
2019-06-21 07:30,3450
2019-06-21 07:45,3400
2019-06-21 08:00,3390
2019-06-21 08:15,3400
2019-06-21 08:30,3400
2019-06-21 08:45,3370
2019-06-21 09:00,3390
2019-06-21 09:15,3390
2019-06-21 09:30,3350
2019-06-21 09:45,3410
2019-06-21 10:00,3400
2019-06-21 10:15,3400
2019-06-21 10:30,3400
2019-06-21 10:45,3380
2019-06-21 11:00,3400
2019-06-21 11:15,3420
2019-06-21 11:30,3430
2019-06-21 11:45,3430
2019-06-21 12:00,3420
2019-06-21 12:15,3390
2019-06-21 12:30,3430
2019-06-21 12:45,3420
2019-06-21 13:00,3430
2019-06-21 13:15,3430
2019-06-21 13:30,3460
2019-06-21 13:45,3420
2019-06-21 14:00,3460
2019-06-21 14:15,3460
2019-06-21 14:30,3430
2019-06-21 14:45,3410
2019-06-21 15:00,3420
2019-06-21 15:15,3420
2019-06-21 15:30,3380
2019-06-21 15:45,3430
2019-06-21 16:00,3420
2019-06-21 16:15,3420
2019-06-21 16:30,3420
2019-06-21 16:45,3430
2019-06-21 17:00,3400
2019-06-21 17:15,3400
2019-06-21 17:30,3420
2019-06-21 17:45,3410
2019-06-21 18:00,3430
2019-06-21 18:15,3410
2019-06-21 18:30,3450
2019-06-21 18:45,3450
2019-06-21 19:00,3410
2019-06-21 19:15,3390
2019-06-21 19:30,3420
2019-06-21 19:45,3420
2019-06-21 20:00,3430
2019-06-21 20:15,3400
2019-06-21 20:30,3400
2019-06-21 20:45,3410
2019-06-21 21:00,3420
2019-06-21 21:15,3420
2019-06-21 21:30,3390
2019-06-21 21:45,3390
2019-06-21 22:00,3420
2019-06-21 22:15,3410
2019-06-21 22:30,3410
2019-06-21 22:45,3400
2019-06-21 23:00,3430
2019-06-21 23:15,3390
2019-06-21 23:30,3400
2019-06-21 23:45,3400
2019-06-22 00:00,3430
2019-06-22 00:15,3400
2019-06-22 00:30,3400
2019-06-22 00:45,3410
2019-06-22 01:00,3390
2019-06-22 01:15,3390
2019-06-22 01:30,3410
2019-06-22 01:45,3380
2019-06-22 02:00,3390
2019-06-22 02:15,3400
2019-06-22 02:30,3410
2019-06-22 02:45,3400
2019-06-22 03:00,3400
2019-06-22 03:15,3410
2019-06-22 03:30,3380
2019-06-22 03:45,3330
2019-06-22 04:00,3400
2019-06-22 04:15,3360
2019-06-22 04:30,3400
2019-06-22 04:45,3390
2019-06-22 05:00,3380
2019-06-22 05:15,3350
2019-06-22 05:30,3380
2019-06-22 05:45,3380
2019-06-22 06:00,3350
2019-06-22 06:15,3340
2019-06-22 06:30,3350
2019-06-22 06:45,3350
2019-06-22 07:00,3320
2019-06-22 07:15,3370
2019-06-22 07:30,3360
2019-06-22 07:45,3360
2019-06-22 08:00,3300
2019-06-22 08:15,3350
2019-06-22 08:30,3360
2019-06-22 08:45,3350
2019-06-22 09:00,3350
2019-06-22 09:15,3320
2019-06-22 09:30,3350
2019-06-22 09:45,3330
2019-06-22 10:00,3330
2019-06-22 10:15,3350
2019-06-22 10:30,3350
2019-06-22 10:45,3320
2019-06-22 11:00,3350
2019-06-22 11:15,3340
2019-06-22 11:30,3320
2019-06-22 11:45,3340
2019-06-22 12:00,3360
2019-06-22 12:15,3340
2019-06-22 12:30,3330
2019-06-22 12:45,3350
2019-06-22 13:00,3350
2019-06-22 13:15,3360
2019-06-22 13:30,3320
2019-06-22 13:45,3320
2019-06-22 14:00,3330
2019-06-22 14:15,3330
2019-06-22 14:30,3340
2019-06-22 14:45,3310
2019-06-22 15:00,3330
2019-06-22 15:15,3320
2019-06-22 15:30,3330
2019-06-22 15:45,3280
2019-06-22 16:00,3340
2019-06-22 16:15,3330
2019-06-22 16:30,3340
2019-06-22 16:45,3320
2019-06-22 17:00,3340
2019-06-22 17:15,3320
2019-06-22 17:30,3350
2019-06-22 17:45,3320
2019-06-22 18:00,3330
2019-06-22 18:15,3330
2019-06-22 18:30,3350
2019-06-22 18:45,3330
2019-06-22 19:00,3330
2019-06-22 19:15,3350
2019-06-22 19:30,3350
2019-06-22 19:45,3350
2019-06-22 20:00,3340
2019-06-22 20:15,3290
2019-06-22 20:30,3340
2019-06-22 20:45,3330
2019-06-22 21:00,3350
2019-06-22 21:15,3360
2019-06-22 21:30,3360
2019-06-22 21:45,3350
2019-06-22 22:00,3350
2019-06-22 22:15,3350
2019-06-22 22:30,3350
2019-06-22 22:45,3350
2019-06-22 23:00,3330
2019-06-22 23:15,3370
2019-06-22 23:30,3360
2019-06-22 23:45,3320
2019-06-23 00:00,3340
2019-06-23 00:15,3350
2019-06-23 00:30,3340
2019-06-23 00:45,3350
2019-06-23 01:00,3350
2019-06-23 01:15,3320
2019-06-23 01:30,3340
2019-06-23 01:45,3300
2019-06-23 02:00,3360
2019-06-23 02:15,3330
2019-06-23 02:30,3350
2019-06-23 02:45,3340
2019-06-23 03:00,3360
2019-06-23 03:15,3330
2019-06-23 03:30,3320
2019-06-23 03:45,3340
2019-06-23 04:00,3330
2019-06-23 04:15,3350
2019-06-23 04:30,3340
2019-06-23 04:45,3350
2019-06-23 05:00,3330
2019-06-23 05:15,3290
2019-06-23 05:30,3330
2019-06-23 05:45,3340
2019-06-23 06:00,3320
2019-06-23 06:15,3320
2019-06-23 06:30,3290
2019-06-23 06:45,3300
2019-06-23 07:00,3300
2019-06-23 07:15,3290
2019-06-23 07:30,3330
2019-06-23 07:45,3330
2019-06-23 08:00,3320
2019-06-23 08:15,3290
2019-06-23 08:30,3310
2019-06-23 08:45,3300
2019-06-23 09:00,3300
2019-06-23 09:15,3310
2019-06-23 09:30,3260
2019-06-23 09:45,3260
2019-06-23 10:00,3330
2019-06-23 10:15,3300
2019-06-23 10:30,3260
2019-06-23 10:45,3290
2019-06-23 11:00,3300
2019-06-23 11:15,3310
2019-06-23 11:30,3300
2019-06-23 11:45,3300
2019-06-23 12:00,3310
2019-06-23 12:15,3310
2019-06-23 12:30,3330
2019-06-23 12:45,3310
2019-06-23 13:00,3340
2019-06-23 13:15,3330
2019-06-23 13:30,3300
2019-06-23 13:45,3340
2019-06-23 14:00,3340
2019-06-23 14:15,3310
2019-06-23 14:30,3330
2019-06-23 14:45,3370
2019-06-23 15:00,3340
2019-06-23 15:15,3370
2019-06-23 15:30,3340
2019-06-23 15:45,3390
2019-06-23 16:00,3380
2019-06-23 16:15,3400
2019-06-23 16:30,3370
2019-06-23 16:45,3440
2019-06-23 17:00,3400
2019-06-23 17:15,3400
2019-06-23 17:30,3430
